總價(萬元),占比乗面積,building,屋齡,樓別/樓高,管理組織,電梯,主要用途,region,衛,廳,房
930,27.315651,high-rise  apartment  (building),25,七層/十四層,有,有,住家用,North District,2,2,3
520,17.38851,Apartment,43,四層/五層,無,無,住家用,North District,2,2,3
1375,26.82,House,51,全/二層,無,無,住家用,North District,2,4,4
2888,59.87352,high-rise  apartment  (building),16,四層/十九層,有,有,住家用,North District,2,2,3
180,8.678979,high-rise  apartment  (building),41,十層/十二層,有,有,住家用,North District,1,1,1
180,8.718095,high-rise  apartment  (building),41,十層/十二層,有,有,住家用,North District,1,1,1
2340,64.91,House,20,全/四層,無,無,住家用,North District,2,4,5
2150,33.23502,high-rise  apartment  (building),4,二十二層/二十二層,有,有,住家用,North District,2,2,3
3497,48.489588,high-rise  apartment  (building),1,十五層/十五層,有,有,住家用,North District,2,4,3
1250,37.03,House,39,全/二層,無,無,住家用,North District,2,2,4
720,24.400815,high-rise  apartment  (building),25,八層/十四層,有,有,住家用,North District,2,2,3
690,13.09176,condominium,1,四層/四層,有,有,住家用,North District,2,1,2
1470,28.64967,high-rise  apartment  (building),1,七層/十四層,有,有,住家用,North District,2,2,2
1350,54.04,House,43,全/三層,無,無,住商用,North District,3,3,4
550,15.08,House,1,全/一層,無,無,,North District,1,1,1
1250,19.109168,high-rise  apartment  (building),12,六層/十三層,有,有,住家用,North District,2,1,2
850,14.554656,high-rise  apartment  (building),15,九層/十四層,有,有,住家用,North District,2,1,2
756,13.42978,high-rise  apartment  (building),16,七層/十四層,有,有,住家用,North District,2,1,2
2150,89.63,House,21,全/五層,無,無,住家用,North District,2,4,6
980,17.074812,condominium,9,三層/九層,有,有,住家用,North District,2,1,2
630,23.62,House,48,全/二層,無,無,住家用,North District,2,2,2
898,24.422976,high-rise  apartment  (building),21,八層/十一層,有,有,住家用,North District,2,2,3
830,43.083252,high-rise  apartment  (building),42,十一層/十二層,有,有,住家用,North District,2,2,3
1240,22.37116,high-rise  apartment  (building),17,四層/十四層,有,有,住家用,North District,2,2,3
2718,82.42,House,20,全/三層,有,無,住家用,North District,2,5,4
385,24.9099,condominium,42,二層/八層,有,有,住家用,North District,1,1,2
1399,57.17,House,30,全/三層,無,無,住家用,North District,2,3,5
1000,28.157427,high-rise  apartment  (building),8,三層/二十四層,有,有,住家用,North District,2,2,3
1188,28.187649,high-rise  apartment  (building),8,十三層/二十四層,有,有,住家用,North District,2,2,3
325,9.690768,high-rise  apartment  (building),17,二層/十四層,有,有,住家用,North District,1,1,1
1468,31.12264,condominium,13,三層/十層,有,有,住家用,North District,2,2,4
456,14.18844,high-rise  apartment  (building),26,四層/十四層,有,有,住家用,North District,1,1,2
740,21.68304,high-rise  apartment  (building),28,十二層/十八層,有,有,住家用,North District,2,2,3
960,20.120668,high-rise  apartment  (building),14,四層/十四層,有,有,住家用,North District,2,1,1
400,10.324942,high-rise  apartment  (building),28,"一層,夾層/十八層",有,有,住家用,North District,1,2,2
1430,30.842293,high-rise  apartment  (building),15,九層/十四層,有,有,住家用,North District,2,2,3
